2026-04-04 18:24:22,107 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 19:20:43,946 | INFO | Low variance removed: 10 features
2026-04-04 19:20:45,031 | INFO | Highly correlated dropped: 21 features
2026-04-04 19:20:45,031 | INFO | Features retained after selection: 46
2026-04-04 19:20:45,591 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:20:46,919 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:20:48,222 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:20:49,473 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:20:50,933 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:20:52,431 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:20:53,942 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:20:55,064 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:20:56,349 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:20:57,587 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:20:58,796 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:20:59,972 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:01,465 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:03,035 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:04,410 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:05,946 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:07,367 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:08,503 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:09,806 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:10,958 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:12,174 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:13,627 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:15,030 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:16,393 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:17,867 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:19,201 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:20,461 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:22,055 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:23,233 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:24,646 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:26,069 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:27,305 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:28,396 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:29,584 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:30,827 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:32,202 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:33,358 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:34,316 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:35,293 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:36,513 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:37,753 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:38,873 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:40,175 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:41,459 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:42,630 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:44,074 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:45,348 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:46,505 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:47,852 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:48,984 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:50,113 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:51,391 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:52,671 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:53,653 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:54,804 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:56,217 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:57,513 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:58,943 | INFO |   apply_feature_selector: dropped 31 columns
2026-04-04 19:21:59,901 | INFO |   apply_feature_selector: dropped 31 columns
